seed,method,scope,cells,mae,normalized_mae,rmse,normalized_rmse,pearson,spearman,policy_agreement,optimality_residual_mean,optimality_residual_max
0,Policy Evaluation,all_nonterminal,259200,46.12946265722265,0.004612946265722265,93.66877959147291,0.009366877959147292,0.9994118913451832,0.9988824933856414,0.911863425925926,5.107992965456605,4430.479816261727
0,Policy Evaluation,q1,129600,15.543709059544513,0.0015543709059544512,21.38090095906842,0.002138090095906842,0.9983427880937337,0.9975554826076927,0.92625,0.875041731137213,373.85968300312754
0,Policy Evaluation,q2,129600,76.7152162549008,0.00767152162549008,130.73078296442034,0.013073078296442034,0.9990741529749685,0.9985863447192644,0.8974768518518519,9.340944199775997,4430.479816261727
0,MaxQ,all_nonterminal,259200,834.4854812235228,0.08344854812235228,1698.0779792652024,0.16980779792652023,0.7251327752831634,0.5611386215046774,0.911863425925926,424.8392174359369,9899.999999999993
0,MaxQ,q1,129600,151.5568053766282,0.01515568053766282,223.00528765122132,0.022300528765122132,0.6149696931398801,0.6021267223601786,0.92625,72.03026717934931,914.4844271228359
0,MaxQ,q2,129600,1517.4141570704173,0.15174141570704172,2391.0680226648474,0.23910680226648473,0.664481326785488,0.6237715734981439,0.8974768518518519,777.6481676925245,9899.999999999993
1,Policy Evaluation,all_nonterminal,259200,40.98018260352111,0.004098018260352111,90.00546556109357,0.009000546556109358,0.999412218019584,0.9988253129208023,0.9102777777777777,4.873576623823944,4430.479816261727
1,Policy Evaluation,q1,129600,13.765510312557403,0.0013765510312557403,19.021990543712246,0.0019021990543712246,0.9985018541089169,0.9976725404919189,0.9247067901234568,0.8278422900750579,377.63604343750256
1,Policy Evaluation,q2,129600,68.19485489448482,0.006819485489448482,125.85758434632902,0.012585758434632902,0.9990653770956283,0.9985163252294053,0.8958487654320988,8.919310957572831,4430.479816261727
1,MaxQ,all_nonterminal,259200,812.9854741449994,0.08129854741449995,1663.2176898356972,0.16632176898356973,0.7374264598857423,0.5689662444281904,0.9102777777777777,416.3307508075955,9899.999999999993
1,MaxQ,q1,129600,154.30696467780348,0.015430696467780348,228.14794041238395,0.022814794041238394,0.5898082815967733,0.5807162029937903,0.9247067901234568,73.71046254903266,923.7216435584205
1,MaxQ,q2,129600,1471.6639836121956,0.14716639836121956,2341.054182382453,0.2341054182382453,0.678226770540088,0.6390150412716344,0.8958487654320988,758.9510390661584,9899.999999999993
