seed,comparison,scope,cells,mae,normalized_mae,rmse,normalized_rmse,pearson,spearman
0,MaxQ vs Policy Evaluation,all_nonterminal,259200,788.3560185663001,0.07883560185663001,1651.2868463462414,0.16512868463462413,0.7270147296356833,0.5613961560112954
0,MaxQ vs Policy Evaluation,q1,129600,136.0130963170837,0.013601309631708369,208.62160353397192,0.02086216035339719,0.6148376893517007,0.602451892663571
0,MaxQ vs Policy Evaluation,q2,129600,1440.6989408155166,0.14406989408155166,2325.9349785346844,0.23259349785346844,0.6666617458621448,0.6243939211072832
1,MaxQ vs Policy Evaluation,all_nonterminal,259200,772.0052915414784,0.07720052915414784,1622.2219927943704,0.16222219927943704,0.7388339789919335,0.5693072339587941
1,MaxQ vs Policy Evaluation,q1,129600,140.54145436524607,0.014054145436524607,215.82285151317615,0.021582285151317614,0.5885318398442129,0.5798095409646568
1,MaxQ vs Policy Evaluation,q2,129600,1403.4691287177106,0.14034691287177106,2283.9940640413665,0.22839940640413664,0.6798156687406683,0.639657908105056
2,MaxQ vs Policy Evaluation,all_nonterminal,259200,788.3905496073897,0.07883905496073898,1653.735030229934,0.1653735030229934,0.7269789376561094,0.5613170429465197
2,MaxQ vs Policy Evaluation,q1,129600,137.3029883015342,0.013730298830153422,211.62762850890863,0.021162762850890863,0.608028950099559,0.6028283602981659
2,MaxQ vs Policy Evaluation,q2,129600,1439.4781109132452,0.1439478110913245,2329.1399372452693,0.23291399372452692,0.6659829302367434,0.6235404696882816
3,MaxQ vs Policy Evaluation,all_nonterminal,259200,780.1420539518091,0.0780142053951809,1636.0688964262015,0.16360688964262016,0.733214055974472,0.5670447005976574
3,MaxQ vs Policy Evaluation,q1,129600,140.55303465078526,0.014055303465078526,216.12365922379053,0.021612365922379053,0.6117822363997489,0.6107884777567497
3,MaxQ vs Policy Evaluation,q2,129600,1419.7310732528329,0.1419731073252833,2303.6348303561954,0.23036348303561954,0.6737100294442545,0.6396774157290698
4,MaxQ vs Policy Evaluation,all_nonterminal,259200,777.1368440898627,0.07771368440898627,1629.715913791407,0.16297159137914072,0.7347828353685963,0.5672933314622685
4,MaxQ vs Policy Evaluation,q1,129600,140.57390058617716,0.014057390058617716,214.3051177006468,0.02143051177006468,0.6079517579319894,0.5929849499240653
4,MaxQ vs Policy Evaluation,q2,129600,1413.6997875935483,0.14136997875935484,2294.7813045816006,0.22947813045816007,0.6750116200411219,0.634504011994685
