experiment,policy,category,training_seed,evaluation_seed,evaluation_episodes,successes,success_rate
vi_360x360,best_policy_seed_42.pth,best,42,100000,1000,958,0.958
vi_360x360,best_policy_seed_43.pth,best,43,100000,1000,942,0.942
vi_360x360,best_policy_seed_44.pth,best,44,100000,1000,1000,1.0
vi_360x360,best_policy_seed_45.pth,best,45,100000,1000,939,0.939
vi_360x360,best_policy_seed_46.pth,best,46,100000,1000,958,0.958
vi_360x360,best_policy_seed_47.pth,best,47,100000,1000,931,0.931
vi_360x360,best_policy_seed_48.pth,best,48,100000,1000,0,0.0
vi_360x360,best_policy_seed_49.pth,best,49,100000,1000,946,0.946
vi_360x360,best_policy_seed_50.pth,best,50,100000,1000,977,0.977
vi_360x360,best_policy_seed_51.pth,best,51,100000,1000,882,0.882
