experiment,policy,category,training_seed,evaluation_seed,evaluation_episodes,successes,success_rate
vi_48x48,best_policy_seed_42.pth,best,42,100000,1000,901,0.901
vi_48x48,best_policy_seed_43.pth,best,43,100000,1000,947,0.947
vi_48x48,best_policy_seed_44.pth,best,44,100000,1000,879,0.879
vi_48x48,best_policy_seed_45.pth,best,45,100000,1000,925,0.925
vi_48x48,best_policy_seed_46.pth,best,46,100000,1000,996,0.996
vi_48x48,best_policy_seed_47.pth,best,47,100000,1000,955,0.955
vi_48x48,best_policy_seed_48.pth,best,48,100000,1000,948,0.948
vi_48x48,best_policy_seed_49.pth,best,49,100000,1000,0,0.0
vi_48x48,best_policy_seed_50.pth,best,50,100000,1000,0,0.0
vi_48x48,best_policy_seed_51.pth,best,51,100000,1000,923,0.923
