experiment,policy,category,training_seed,evaluation_seed,evaluation_episodes,successes,success_rate
vi_24x24,best_policy_seed_42.pth,best,42,100000,1000,782,0.782
vi_24x24,best_policy_seed_43.pth,best,43,100000,1000,949,0.949
vi_24x24,best_policy_seed_44.pth,best,44,100000,1000,631,0.631
vi_24x24,best_policy_seed_45.pth,best,45,100000,1000,893,0.893
vi_24x24,best_policy_seed_46.pth,best,46,100000,1000,860,0.86
vi_24x24,best_policy_seed_47.pth,best,47,100000,1000,996,0.996
vi_24x24,best_policy_seed_48.pth,best,48,100000,1000,786,0.786
vi_24x24,best_policy_seed_49.pth,best,49,100000,1000,530,0.53
vi_24x24,best_policy_seed_50.pth,best,50,100000,1000,988,0.988
vi_24x24,best_policy_seed_51.pth,best,51,100000,1000,971,0.971
