experiment,policy,category,training_seed,evaluation_seed,evaluation_episodes,successes,success_rate
vi_180x180,best_policy_seed_42.pth,best,42,100000,1000,995,0.995
vi_180x180,best_policy_seed_43.pth,best,43,100000,1000,961,0.961
vi_180x180,best_policy_seed_44.pth,best,44,100000,1000,960,0.96
vi_180x180,best_policy_seed_45.pth,best,45,100000,1000,989,0.989
vi_180x180,best_policy_seed_46.pth,best,46,100000,1000,997,0.997
vi_180x180,best_policy_seed_47.pth,best,47,100000,1000,980,0.98
vi_180x180,best_policy_seed_48.pth,best,48,100000,1000,0,0.0
vi_180x180,best_policy_seed_49.pth,best,49,100000,1000,992,0.992
vi_180x180,best_policy_seed_50.pth,best,50,100000,1000,987,0.987
vi_180x180,best_policy_seed_51.pth,best,51,100000,1000,993,0.993
vi_180x180,last_policy_seed_42.pth,last,42,100000,1000,995,0.995
vi_180x180,last_policy_seed_43.pth,last,43,100000,1000,690,0.69
vi_180x180,last_policy_seed_44.pth,last,44,100000,1000,50,0.05
vi_180x180,last_policy_seed_45.pth,last,45,100000,1000,989,0.989
vi_180x180,last_policy_seed_46.pth,last,46,100000,1000,926,0.926
vi_180x180,last_policy_seed_47.pth,last,47,100000,1000,239,0.239
vi_180x180,last_policy_seed_48.pth,last,48,100000,1000,0,0.0
vi_180x180,last_policy_seed_49.pth,last,49,100000,1000,73,0.073
vi_180x180,last_policy_seed_50.pth,last,50,100000,1000,968,0.968
vi_180x180,last_policy_seed_51.pth,last,51,100000,1000,961,0.961
