experiment,policy,category,training_seed,evaluation_seed,evaluation_episodes,successes,success_rate
vi_48x48,best_policy_seed_42.pth,best,42,100000,1000,980,0.98
vi_48x48,best_policy_seed_43.pth,best,43,100000,1000,992,0.992
vi_48x48,best_policy_seed_44.pth,best,44,100000,1000,999,0.999
vi_48x48,best_policy_seed_45.pth,best,45,100000,1000,0,0.0
vi_48x48,best_policy_seed_46.pth,best,46,100000,1000,996,0.996
vi_48x48,best_policy_seed_47.pth,best,47,100000,1000,1000,1.0
vi_48x48,best_policy_seed_48.pth,best,48,100000,1000,994,0.994
vi_48x48,best_policy_seed_49.pth,best,49,100000,1000,988,0.988
vi_48x48,best_policy_seed_50.pth,best,50,100000,1000,932,0.932
vi_48x48,best_policy_seed_51.pth,best,51,100000,1000,845,0.845
vi_48x48,last_policy_seed_42.pth,last,42,100000,1000,819,0.819
vi_48x48,last_policy_seed_43.pth,last,43,100000,1000,743,0.743
vi_48x48,last_policy_seed_44.pth,last,44,100000,1000,771,0.771
vi_48x48,last_policy_seed_45.pth,last,45,100000,1000,0,0.0
vi_48x48,last_policy_seed_46.pth,last,46,100000,1000,943,0.943
vi_48x48,last_policy_seed_47.pth,last,47,100000,1000,959,0.959
vi_48x48,last_policy_seed_48.pth,last,48,100000,1000,957,0.957
vi_48x48,last_policy_seed_49.pth,last,49,100000,1000,939,0.939
vi_48x48,last_policy_seed_50.pth,last,50,100000,1000,864,0.864
vi_48x48,last_policy_seed_51.pth,last,51,100000,1000,43,0.043
