experiment,policy,category,training_seed,evaluation_seed,evaluation_episodes,successes,failures,is_continuing,max_cycles_per_episode,max_episode_steps,success_rate,failure_rate,mean_completed_cycles,std_completed_cycles,zero_cycles_rate,exactly_one_cycle_rate,exactly_two_cycles_rate,three_cycles_rate,at_least_one_cycle_rate,at_least_two_cycles_rate,at_least_three_cycles_rate,mean_task_return,std_task_return,mean_environment_return,std_environment_return,mean_episode_length,std_episode_length,mean_dfa_transitions,std_dfa_transitions,terminated_rate,truncated_rate,cycle_cap_rate
rq4_final_vertical_shaped,best_policy_seed_42.pth,best,42,200000,1000,990,0,1,3,1500,0.99,0.0,2.949,0.358328061976731,0.01,0.01,0.001,0.979,0.99,0.98,0.979,29490.0,3583.2806197673103,19.07254485159985,47.49998872107357,634.059,83.77610350810069,5.917,0.5900093219602551,0.021,0.0,0.979
rq4_final_vertical_shaped,best_policy_seed_43.pth,best,43,200000,1000,481,0,1,3,1500,0.481,0.0,0.481,0.49963886958482323,0.519,0.481,0.0,0.0,0.481,0.0,0.0,4810.0,4996.388695848233,-338.03712684285154,190.1547005723996,122.813,47.55165644854026,1.471,0.5226461518082764,1.0,0.0,0.0
rq4_final_vertical_shaped,best_policy_seed_44.pth,best,44,200000,1000,680,0,1,3,1500,0.68,0.0,0.68,0.466476151587624,0.32,0.68,0.0,0.0,0.68,0.0,0.0,6800.0,4664.76151587624,-304.19790708565887,222.701367743344,112.153,66.32781913345259,1.646,0.55198188376069,0.999,0.001,0.0
rq4_final_vertical_shaped,best_policy_seed_45.pth,best,45,200000,1000,664,0,1,3,1500,0.664,0.0,0.664,0.4723388614120164,0.336,0.664,0.0,0.0,0.664,0.0,0.0,6640.0,4723.388614120164,-244.60331124367005,268.6835939159762,164.037,93.94596122771857,1.518,0.7386988560976658,1.0,0.0,0.0
rq4_final_vertical_shaped,best_policy_seed_46.pth,best,46,200000,1000,684,0,1,3,1500,0.684,0.0,0.687,0.4701393410468858,0.316,0.681,0.003,0.0,0.684,0.003,0.0,6870.0,4701.393410468858,-366.13476866498456,277.1520774762792,123.123,93.6449457845964,1.67,0.5505451843400322,0.997,0.003,0.0
rq4_final_vertical_shaped,best_policy_seed_47.pth,best,47,200000,1000,744,0,1,3,1500,0.744,0.0,0.745,0.43814951785891537,0.256,0.743,0.001,0.0,0.744,0.001,0.0,7450.0,4381.4951785891535,-299.46581299196964,160.88547159598355,98.976,42.84018468681011,1.655,0.6465098607136631,1.0,0.0,0.0
rq4_final_vertical_shaped,best_policy_seed_48.pth,best,48,200000,1000,717,0,1,3,1500,0.717,0.0,1.044,0.9011459371267232,0.283,0.492,0.123,0.102,0.717,0.225,0.102,10440.0,9011.45937126723,-198.20157835713914,212.40842506824455,347.65,303.43301320060743,2.323,1.6439802310246923,0.896,0.002,0.102
rq4_final_vertical_shaped,best_policy_seed_49.pth,best,49,200000,1000,817,0,1,3,1500,0.817,0.0,0.817,0.38666652298847903,0.183,0.817,0.0,0.0,0.817,0.0,0.0,8170.0,3866.6652298847907,-236.6987484340049,133.75306046808493,106.265,53.01406204961095,1.77,0.5244997616777343,1.0,0.0,0.0
rq4_final_vertical_shaped,best_policy_seed_50.pth,best,50,200000,1000,771,0,1,3,1500,0.771,0.0,0.771,0.4201892430798294,0.229,0.771,0.0,0.0,0.771,0.0,0.0,7710.0,4201.892430798294,-230.76605713047337,155.80757141144403,112.396,50.96015290400923,1.708,0.5802895828808234,1.0,0.0,0.0
rq4_final_vertical_shaped,best_policy_seed_51.pth,best,51,200000,1000,816,0,1,3,1500,0.816,0.0,0.826,0.4046282244233588,0.184,0.806,0.01,0.0,0.816,0.01,0.0,8260.0,4046.282244233588,-138.4830531917786,91.02545534736109,126.822,89.72939493833667,1.713,0.7284442325943695,0.998,0.002,0.0
rq4_final_vertical_shaped,last_policy_seed_42.pth,last,42,200000,1000,988,0,1,3,1500,0.988,0.0,2.866,0.5157945327356621,0.012,0.039,0.02,0.929,0.988,0.949,0.929,28660.0,5157.945327356621,-33.11747322558409,193.34351270324763,693.921,128.4912711393268,5.765,0.9131128079268191,0.071,0.0,0.929
rq4_final_vertical_shaped,last_policy_seed_43.pth,last,43,200000,1000,376,0,1,3,1500,0.376,0.0,0.382,0.4980722839106789,0.624,0.37,0.006,0.0,0.376,0.006,0.0,3820.0,4980.72283910679,-338.10691664021294,174.31719004040693,146.106,79.96821095910549,1.373,0.6417717662845569,1.0,0.0,0.0
rq4_final_vertical_shaped,last_policy_seed_44.pth,last,44,200000,1000,663,0,1,3,1500,0.663,0.0,0.669,0.4831552545507499,0.337,0.657,0.006,0.0,0.663,0.006,0.0,6690.0,4831.552545507499,-187.52179099541985,140.4207117982853,121.283,65.73181049537583,1.652,0.6007462026513359,1.0,0.0,0.0
rq4_final_vertical_shaped,last_policy_seed_45.pth,last,45,200000,1000,388,0,1,3,1500,0.388,0.0,0.394,0.5007634171941877,0.612,0.382,0.006,0.0,0.388,0.006,0.0,3940.0,5007.634171941876,-227.86774113519743,177.4574990935603,264.208,293.24036682557875,1.406,0.6302094889796567,0.969,0.031,0.0
rq4_final_vertical_shaped,last_policy_seed_46.pth,last,46,200000,1000,645,0,1,3,1500,0.645,0.0,0.695,0.5585472227126368,0.355,0.595,0.05,0.0,0.645,0.05,0.0,6950.0,5585.472227126369,-187.4157886308362,166.53290459884593,188.331,152.4412917781793,1.787,0.8121767049109448,0.996,0.004,0.0
rq4_final_vertical_shaped,last_policy_seed_47.pth,last,47,200000,1000,383,0,1,3,1500,0.383,0.0,0.385,0.4906882920959089,0.617,0.381,0.002,0.0,0.383,0.002,0.0,3850.0,4906.882920959089,-315.55233357234226,205.60308833925714,167.399,77.40817656423643,1.327,0.6164989862116563,1.0,0.0,0.0
rq4_final_vertical_shaped,last_policy_seed_48.pth,last,48,200000,1000,717,0,1,3,1500,0.717,0.0,1.044,0.9011459371267232,0.283,0.492,0.123,0.102,0.717,0.225,0.102,10440.0,9011.45937126723,-198.20157835713914,212.40842506824455,347.65,303.43301320060743,2.323,1.6439802310246923,0.896,0.002,0.102
rq4_final_vertical_shaped,last_policy_seed_49.pth,last,49,200000,1000,477,0,1,3,1500,0.477,0.0,0.477,0.4994707198625361,0.523,0.477,0.0,0.0,0.477,0.0,0.0,4770.0,4994.70719862536,-199.79952564943844,115.91530679370737,124.508,81.3748851673537,1.438,0.5728490202487913,0.998,0.002,0.0
rq4_final_vertical_shaped,last_policy_seed_50.pth,last,50,200000,1000,302,0,1,3,1500,0.302,0.0,0.303,0.46172610928991226,0.698,0.301,0.001,0.0,0.302,0.001,0.0,3030.0,4617.261092899123,-369.34930004299554,168.6066503940383,128.471,59.74772932087043,1.183,0.6304847341530165,1.0,0.0,0.0
rq4_final_vertical_shaped,last_policy_seed_51.pth,last,51,200000,1000,589,0,1,3,1500,0.589,0.0,0.601,0.5136136680424305,0.411,0.577,0.012,0.0,0.589,0.012,0.0,6010.0,5136.136680424305,-167.4990409094323,144.03982267114134,128.886,73.26516910510752,1.616,0.7145236175242916,1.0,0.0,0.0
