experiment,policy,category,training_seed,evaluation_seed,episode,max_cycles_per_episode,max_episode_steps,success,failure,completed_cycles,at_least_one_cycle,at_least_two_cycles,at_least_three_cycles,task_return,environment_return,episode_length,dfa_transitions,reached_dfa_states,env_terminated,env_truncated,stopped_at_cycle_cap
prova_atterraggio,best_policy.pth,best,,,310,3,gym_default,1,0,0,0,0,0,10000.0,186.86419622423483,761,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,311,3,gym_default,1,0,0,0,0,0,10000.0,220.03011979467468,348,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,312,3,gym_default,0,0,0,0,0,0,0.0,-357.78849878756307,802,1,1|2,1,0,0
prova_atterraggio,best_policy.pth,best,,,313,3,gym_default,1,0,0,0,0,0,10000.0,219.1768638161422,682,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,314,3,gym_default,1,0,0,0,0,0,10000.0,257.34326867750826,312,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,315,3,gym_default,0,0,0,0,0,0,0.0,-671.3184178773373,134,0,1,1,0,0
prova_atterraggio,best_policy.pth,best,,,316,3,gym_default,1,0,0,0,0,0,10000.0,258.4740944750031,432,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,317,3,gym_default,0,0,0,0,0,0,0.0,-247.73748535336975,363,2,1|2|3,1,0,0
prova_atterraggio,best_policy.pth,best,,,318,3,gym_default,1,0,0,0,0,0,10000.0,263.2688854464915,324,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,319,3,gym_default,1,0,0,0,0,0,10000.0,219.16468794749068,369,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,320,3,gym_default,1,0,0,0,0,0,10000.0,223.70912700842075,350,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,321,3,gym_default,0,0,0,0,0,0,0.0,-270.02255397140743,902,2,1|2|3,1,0,0
prova_atterraggio,best_policy.pth,best,,,322,3,gym_default,1,0,0,0,0,0,10000.0,218.13823905884198,469,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,323,3,gym_default,1,0,0,0,0,0,10000.0,250.04857023333295,318,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,324,3,gym_default,0,0,0,0,0,0,0.0,-104.16411465082396,1000,0,1,0,1,0
prova_atterraggio,best_policy.pth,best,,,325,3,gym_default,1,0,0,0,0,0,10000.0,224.06975154573013,393,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,326,3,gym_default,1,0,0,0,0,0,10000.0,241.24438697402283,338,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,327,3,gym_default,1,0,0,0,0,0,10000.0,250.3189858020552,466,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,328,3,gym_default,0,0,0,0,0,0,0.0,-645.69543472944,252,1,1|2,1,0,0
prova_atterraggio,best_policy.pth,best,,,329,3,gym_default,1,0,0,0,0,0,10000.0,264.5550143997343,320,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,330,3,gym_default,1,0,0,0,0,0,10000.0,271.37894225005857,472,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,331,3,gym_default,1,0,0,0,0,0,10000.0,222.5910062042858,327,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,332,3,gym_default,1,0,0,0,0,0,10000.0,241.94411832692796,312,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,333,3,gym_default,1,0,0,0,0,0,10000.0,162.591867708419,932,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,334,3,gym_default,1,0,0,0,0,0,10000.0,256.03189089434386,315,3,1|2|3|4,1,0,0
