experiment,policy,category,training_seed,evaluation_seed,evaluation_episodes,successes,success_rate
vi_180x180,best_policy_seed_42.pth,best,42,100000,1000,939,0.939
vi_180x180,best_policy_seed_43.pth,best,43,100000,1000,840,0.84
vi_180x180,best_policy_seed_44.pth,best,44,100000,1000,0,0.0
vi_180x180,best_policy_seed_45.pth,best,45,100000,1000,861,0.861
vi_180x180,best_policy_seed_46.pth,best,46,100000,1000,952,0.952
vi_180x180,best_policy_seed_47.pth,best,47,100000,1000,968,0.968
vi_180x180,best_policy_seed_48.pth,best,48,100000,1000,0,0.0
vi_180x180,best_policy_seed_49.pth,best,49,100000,1000,0,0.0
vi_180x180,best_policy_seed_50.pth,best,50,100000,1000,844,0.844
vi_180x180,best_policy_seed_51.pth,best,51,100000,1000,982,0.982
