experiment,policy,category,training_seed,evaluation_seed,evaluation_episodes,successes,success_rate
vi_360x360,best_policy_seed_42.pth,best,42,100000,1000,937,0.937
vi_360x360,best_policy_seed_43.pth,best,43,100000,1000,0,0.0
vi_360x360,best_policy_seed_44.pth,best,44,100000,1000,1000,1.0
vi_360x360,best_policy_seed_45.pth,best,45,100000,1000,923,0.923
vi_360x360,best_policy_seed_46.pth,best,46,100000,1000,951,0.951
vi_360x360,best_policy_seed_47.pth,best,47,100000,1000,963,0.963
vi_360x360,best_policy_seed_48.pth,best,48,100000,1000,983,0.983
vi_360x360,best_policy_seed_49.pth,best,49,100000,1000,901,0.901
vi_360x360,best_policy_seed_50.pth,best,50,100000,1000,963,0.963
vi_360x360,best_policy_seed_51.pth,best,51,100000,1000,935,0.935
vi_360x360,last_policy_seed_42.pth,last,42,100000,1000,708,0.708
vi_360x360,last_policy_seed_43.pth,last,43,100000,1000,0,0.0
vi_360x360,last_policy_seed_44.pth,last,44,100000,1000,277,0.277
vi_360x360,last_policy_seed_45.pth,last,45,100000,1000,923,0.923
vi_360x360,last_policy_seed_46.pth,last,46,100000,1000,951,0.951
vi_360x360,last_policy_seed_47.pth,last,47,100000,1000,937,0.937
vi_360x360,last_policy_seed_48.pth,last,48,100000,1000,820,0.82
vi_360x360,last_policy_seed_49.pth,last,49,100000,1000,407,0.407
vi_360x360,last_policy_seed_50.pth,last,50,100000,1000,724,0.724
vi_360x360,last_policy_seed_51.pth,last,51,100000,1000,428,0.428
